tipo_item,endereco,bairro,metragem_m2,latidude,longitude,lote,observacoes
area publica,av. jorge casoni - terminal rodoviario,casoni,"29.184,98","-23,3044206","-51,1513729",1,
praça,rua carijós c araruana,paraná,"2.332,83","-23,3045262","-51,1480067",1,
praça,jorge casoni c/ guaicurus,matarazzo,"244,25","-23,3044206","-51,1513729",1,
area publica,caetes c/ tembes (praça/ laterais ao lado praça),matarazzo,"680,00","-23,423468","-51,8869931",1,
canteiros,av jorge casoni (alça lateral esquina rua guaranis ),casoni,"452,16","-23,3028976","-51,1494082",1,
area publica,rua tupiniquins (duas laterais),casoni,150,"-23,3028976","-51,1494082",1,
area publica,rua tapuias c/ oswaldo cruz,casoni,"500,00","-23,2959873","-51,1454558",1,
area publica,jorge casoni c/ camacan e alexandre albertoni (2 areas),kase,"722,44","-23,2949574","-51,1471296",1,
viela,jorge casoni (da casoni até saturnino de brito e rua sampaio vidal),casoni,"908,80","-23,29849","-51,145814",1,
praça,vital brasil c oswaldo cruz,kase,"2.434,69","-23,2908879","-51,2320966",1,
lote público,icós,são caetano,"438,56","-23,3014941","-51,1550653",1,
lote público,tembés,portuguesa,348,"-23,3023949","-51,154633",1,
praça,tiete c john kennedy,recreio,"1.915,41","-23,2953414","-51,1589755",1,
praça,tietê c duque de caxias 2 praças,recreio,"2.457,00","-23,3272806","-51,1540579",1,
area publica,av. duque de caxias c/ r. caetano munhoz da rocha,recreio,"411,75","-23,3154575","-51,1551198",1,
lotes,irma bona dose c angelo vicentini,santa monica,"3.870,42","-23,2869407","-51,1585812",1,
fundo de vale,r. angelo vicentini (da maria i. v. teodoro até av. lucia h.g. viana),santa monica,"7.195,78","-23,2865857","-51,1586495",1,
praça,nilo cairo c matheus leme,jd. paulista,"874,57","-23,2904896","-51,1587728",1,
fundo de vale,zacaria de goes (da av. lucia h.g.viana até nilo cairo),jd. paulista,"2.552,80","-23,2904896","-51,1587728",1,
area publica,coelho neto (do campo de futebol até alça de acesso br-369),progresso,"26.568,99","-23,2906088","-51,1529114",1,
viela,carlos rottman,jd. progresso,"229,61","-23,2921294","-51,1532831",1,
viela,chefe newton,jd. progresso,"236,96","-23,2649988","-51,1881851",1,
laterais,lúcia h. gonçalves viana c/ visconde de guarapuava,jd. paschoal cantoni,"703,48","-23,2874127","-51,1550694",1,
fundo de vale,r. antonio vicente de souza e r. coelho neto (extensão toda),vários,"10.125,76","-23,290049","-51,1520293",1,
praça,mario novaes c jose mauricio da silva,portal itamaraca,"5.276,97","-23,2857056","-51,1503428",1,
laterais,gino tamiozzo muro epesmel,novo amparo,"1.991,69","-23,3732828","-51,1326945",1,
laterais,flávio buraneli - gino tamioso - antônio b. de lima,santa luzia,"407,50","-23,2876706","-51,1418299",1,
transp. linha férrea,r. angelino f. de souza (amparo) e r. flávio guaraneli (felicidade),novo amparo,"874,22","-23,2843242","-51,1445814",1,
laterais,gino tamiozzo e angelino f. de souza (da br-369 até felicidade),novo amparo,"27.207,27","-23,2839414","-51,1437892",1,
area publica,rua agenor pereira (2 áreas),novo amparo,"2.633,42","-23,2827423","-51,1421574",1,
area publica,antonio da silva,novo amparo,"14.876,45","-23,2681358","-51,1751546",1,
laterais,rua antônio da silva c/ milton r meneses (da creche até no muro),novo amparo,"2.598,36","-23,2797942","-51,1553582",1,
praça,kirio miyamura,santa regina,"2.778,10","-23,2833187","-51,1414368",1,
area publica,kirio miyamura,santa regina,"4.001,25","-23,2833187","-51,1414368",1,
area publica,antonio rodrigues da silva,santa regina,"1.558,80","-23,284385","-51,1402738",1,
area publica,dr orlando vicentini,farid libos,"1.186,41","-23,2748547","-51,1434266",1,
area publica,dr orlando vicentini,boulevard p. do norte,"5.148,49","-23,2748547","-51,1434266",1,
fundo de vale,dr orlando vicentini,boulevard p. do norte,"12.092,35","-23,2748547","-51,1434266",1,
praça,angelina ricci vezozo,boulevard p. do norte,"658,74","-23,2774025","-51,1384406",1,
praça,dr juvenal egger filho,farid libos,"428,25","-23,2761118","-51,1401316",1,
laterais,deoclecio jose da rosa,tropical a,"1.040,56","-23,2787541","-51,1491616",1,
canteiros,av miltom ribeiro de menezes,farid libos,"4.607,73","-23,2785188","-51,1408337",1,
praça,maria jose b aguirera c milton r menezes,farid libos,"1.146,52","-23,2785188","-51,1408337",1,
praça,herminio m reis c milton r meneses,farid libos,"317,19","-23,3197305","-51,1662008",1,
fundo de vale,orlando vicentini rua dr ricardo skowroneck,farid libos,"1.250,68","-23,273698","-51,1416287",1,
praça,jose nery machado c orlando vicentini,farid libos,"3.358,67","-23,2743046","-51,1410944",1,
praça,gervasio m morales c orlando vicentini,farid libos,"1.830,35","-23,2748547","-51,1434266",1,
a. pública,r. orlando vicentini c/ júlio lino,moema,"14.278,98","-23,2748547","-51,1434266",1,
area publica,jardim felicidade (áreas públicas e fundo de vale),felicidade,"4.912,91","-23,2861949","-51,1446048",1,
area publica,dagoberto f. santos c/ ramiro marigo,michel lichia,"1.614,46","-23,2803849","-51,1593009",1,
area publica,ramiro marigo c/ jair p. batista,michel lichia,"1.346,00","-23,27864","-51,1592592",1,
vielas,gilberto nápoli e jair pereira batista,michael licha,"603,80","-23,27864","-51,1592592",1,
laterais,jair pereira batista,michael licha,"4.871,45","-23,27864","-51,1592592",1,
laterais,joão baptista da silva,michael licha,"3.738,54","-23,2804027","-51,1607961",1,
praça,dagoberto f dos santos,michael licha,"1.855,93","-23,2805135","-51,1586508",1,
praça,joão baptista da silva c/ claudir m. rossi,michael licha,"162,31","-23,2804027","-51,1607961",1,
praça,neman sayun c mauro ferreira,portal de bianca,"1.392,80","-23,2881687","-51,1645088",1,
area publica,neman sayun c eladio yanes peres,portal de bianca,"1.749,36","-23,2881856","-51,1643804",1,
fundo de vale,eladio yanes peres edmur elias neder,alpes i,"23.970,55","-23,2884731","-51,1695902",1,
fundo de vale,jair assunção (atráz da metronorte),honda,"3.221,47","-23,2921321","-51,1796997",1,
fundo de vale,josefa conrado otto edmundo riihmann,honda i,"3.386,87","-23,2900803","-51,1804975",1,
area publica,petruska m ruiz c joao ruiz,honda i,"3.030,39","-23,2889422","-51,1805189",1,
area publica,joão ruiz c antonio pimentel,honda ii,"3.029,03","-23,2885513","-51,1798904",1,
area publica,lazara mendes ribeiro c otto edm. rihmann,são tomas,"5.539,55","-23,2894189","-51,1831478",1,
area publica,domingos de r teixeira c otto e rihmann,são tomas,"4.618,99","-23,3197305","-51,1662008",1,
praça,luiz morselhi filho c izaura marques pereira,são tomas,"2.203,19","-23,2858831","-51,1839774",1,
area publica,sebastiao montilha garcia c/ edwiges m. ba,andes,"3.222,71","-23,2882189","-51,1756669",1,
area publica,sebastiao montilhagarcia c antonio baldan,andes,"888,07","-23,2882189","-51,1756669",1,
viela,pastor judithe do carmo,costa do sol,"853,02","-23,2858938","-51,1762417",1,
praça,arcindo sardo c adalcimar r guandalini,império do sol,"9.636,19","-23,2859041","-51,180452",1,
area publica,rezek andery c walter da silva,santiago ii,"2.836,12","-23,2858579","-51,1890243",1,
fundo de vale,antonio v. da silva ate athos anzola,portal do imperio,"12.346,87","-23,2865759","-51,1900324",1,
praça,euzebio barbosa de menezes,santa rita,"15.192,51","-23,2878517","-51,191844",1,
area publica,euzébio barbosa de menezes c/ perobal,santiago ii,"2.052,05","-23,2878517","-51,191844",1,
rotatória,ruy virmond carnascialli,leonor,"50,00","-23,2897477","-51,1958305",1,
area publica,samuameira c/ perobal,santiago,"2.907,82","-23,2885866","-51,1931584",1,
area publica,angico c amendoinzeiro,santa rita,"14.010,42","-23,2903044","-51,1977528",1,
praça,cupiuba,santa rita,"553,55","-23,2892185","-51,1946042",1,
area publica,oleo pardo com seringueira (da guaiuvira até eucaliptos),santa rita,"18.599,18","-23,2940102","-51,1953567",1,
area publica,br-369 da r. castanheira até r. nossa senhora guia,bratac,"4.000,73","-23,2932665","-51,1889886",1,
area publica,castanheira c eucaliptos,santa rita,"218,44","-23,2943926","-51,1933052",1,
praça,castanheira c dos eucaliptos,santa rita,"1.256,24","-23,2793563","-51,1128122",1,
viela,caviúna e luigi amorese,leonor,"235,38","-23,2945136","-51,2022158",1,
vielas,pinheiros e castanheiras,leonor,"482,88","-23,3309083","-51,1124273",1,
viela,cedro e amendoinzeiro,santa rita,"600,22","-23,2903044","-51,1977528",1,
vielas,perobal,leonor,"244,81","-23,2915165","-51,1952744",1,
praça,cabriuva c/ imbuia,marumbi,"2.803,83","-23,2909015","-51,2006519",1,
vielas,guaiuvira,santa rita,"417,55","-23,2900731","-51,1974311",1,
viela,figueira x balsamo,santa rita,"489,30","-23,2901461","-51,2013649",1,
praça,manoel jacinto correa c ricardo funaro,santa rita i,"4.427,42","-23,2909307","-51,2051976",1,
area publica,angelo gaiotto- capela mortuária- quadra,santa rita,"5.557,36","-23,3145132","-51,1474724",1,
praça,quiri,santa rita,"1.273,47","-23,2882207","-51,1989541",1,
vielas,araracanga/piquiá/aracaúba/alecrim,santa rita,"624,40","-23,2870719","-51,1970658",1,
praça,jutai c araracanga,santa rita,"9.388,19","-23,2851666","-51,1966185",1,
